SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,09,001,Connecticut,Fairfield County,1,0,957419,469454,487965,369144,377152,58847,67123,3336,2816,27044,29612,576,544,10507,10718,378334,386448,65031,73808,5346,5079,30807,33095,1376,1265,368666,388380,284158,293454,50124,57687,679,656,26371,29012,175,171,7159,7400,290428,299801,53740,61702,1817,1980,29640,32133,637,645,100788,99585,84986,83698,8723,9436,2657,2160,673,600,401,373,3348,3318,87906,86647,11291,12106,3529,3099,1167,962,739,620
050,09,001,Connecticut,Fairfield County,1,1,51121,26132,24989,18844,17789,3816,3770,401,392,1705,1646,49,64,1317,1328,20093,19045,4604,4615,519,512,2246,2148,81,95,17965,16875,12425,11469,2903,2865,59,53,1646,1586,16,13,916,889,13302,12319,3349,3337,91,86,2141,2038,26,25,8167,8114,6419,6320,913,905,342,339,59,60,33,51,401,439,6791,6726,1255,1278,428,426,105,110,55,70
050,09,001,Connecticut,Fairfield County,1,2,56542,28634,27908,21071,20308,4114,4078,256,235,1799,1954,42,38,1352,1295,22364,21534,4935,4856,395,342,2342,2473,77,86,20727,19954,14648,13815,3248,3202,105,84,1762,1921,22,15,942,917,15553,14687,3718,3649,150,121,2255,2411,36,38,7907,7954,6423,6493,866,876,151,151,37,33,20,23,410,378,6811,6847,1217,1207,245,221,87,62,41,48
050,09,001,Connecticut,Fairfield County,1,3,65657,33462,32195,24913,23669,4655,4824,260,222,2073,2011,38,52,1523,1417,26354,25021,5628,5742,405,365,2647,2500,82,96,24478,23587,17620,16684,3661,3832,59,48,1994,1959,12,12,1132,1052,18695,17689,4285,4448,126,114,2540,2411,41,40,8984,8608,7293,6985,994,992,201,174,79,52,26,40,391,365,7659,7332,1343,1294,279,251,107,89,41,56
050,09,001,Connecticut,Fairfield County,1,4,67119,34028,33091,26410,25107,4403,4718,260,235,1760,1782,21,29,1174,1220,27510,26256,5163,5522,396,362,2168,2190,53,67,25998,25505,19751,18879,3593,3894,48,50,1698,1737,4,6,904,939,20600,19765,4119,4461,118,117,2085,2112,29,32,8030,7586,6659,6228,810,824,212,185,62,45,17,23,270,281,6910,6491,1044,1061,278,245,83,78,24,35
050,09,001,Connecticut,Fairfield County,1,5,59736,30339,29397,23056,22290,4522,4397,175,173,1594,1620,51,31,941,886,23895,23082,5146,5023,303,295,1889,1894,116,63,22986,22373,16903,16381,3824,3719,29,47,1545,1568,7,8,678,650,17507,16977,4244,4144,98,111,1795,1811,55,23,7353,7024,6153,5909,698,678,146,126,49,52,44,23,263,236,6388,6105,902,879,205,184,94,83,61,40
050,09,001,Connecticut,Fairfield County,1,6,53540,27271,26269,19539,18459,4829,4914,198,167,1913,2009,51,46,741,674,20147,19030,5275,5389,358,304,2178,2176,137,108,20050,19393,13570,12709,4058,4221,48,30,1855,1966,5,10,514,457,13986,13090,4345,4519,143,104,2074,2116,61,50,7221,6876,5969,5750,771,693,150,137,58,43,46,36,227,217,6161,5940,930,870,215,200,104,60,76,58
050,09,001,Connecticut,Fairfield County,1,7,55366,27476,27890,19955,19655,4389,4962,245,203,2228,2435,47,28,612,607,20457,20161,4770,5365,375,359,2432,2599,128,91,20068,20748,13782,13807,3687,4133,34,48,2179,2393,15,5,371,362,14071,14102,3887,4337,104,120,2346,2533,67,47,7408,7142,6173,5848,702,829,211,155,49,42,32,23,241,245,6386,6059,883,1028,271,239,86,66,61,44
050,09,001,Connecticut,Fairfield County,1,8,60196,30130,30066,22349,22063,4354,4624,400,213,2455,2539,57,36,515,591,22745,22544,4624,4995,519,362,2663,2731,137,91,21802,22494,15300,15699,3700,3906,68,35,2411,2485,12,10,311,359,15542,15976,3846,4088,128,110,2565,2657,50,49,8328,7572,7049,6364,654,718,332,178,44,54,45,26,204,232,7203,6568,778,907,391,252,98,74,87,42
050,09,001,Connecticut,Fairfield County,1,9,60856,30058,30798,22834,22484,4136,4813,319,200,2240,2702,39,41,490,558,23191,22929,4400,5156,438,364,2418,2864,138,96,21899,22977,15835,15878,3601,4072,41,34,2175,2655,12,15,235,323,16012,16116,3697,4235,95,120,2295,2793,49,55,8159,7821,6999,6606,535,741,278,166,65,47,27,26,255,235,7179,6813,703,921,343,244,123,71,89,41
050,09,001,Connecticut,Fairfield County,1,10,64093,31450,32643,24729,24771,3704,4440,218,169,2312,2724,47,40,440,499,25061,25141,3920,4711,359,352,2462,2890,117,102,24140,25750,18301,18777,3264,3912,31,40,2264,2687,16,18,264,316,18492,18996,3362,4053,130,149,2381,2830,55,59,7310,6893,6428,5994,440,528,187,129,48,37,31,22,176,183,6569,6145,558,658,229,203,81,60,62,43
050,09,001,Connecticut,Fairfield County,1,11,70927,34819,36108,28546,28643,3752,4712,190,172,1860,2073,35,39,436,469,28884,28992,3969,4965,364,382,1985,2205,88,93,28286,29716,22802,23108,3368,4235,36,47,1826,2028,13,14,241,284,22978,23299,3456,4353,140,184,1923,2136,45,53,6533,6392,5744,5535,384,477,154,125,34,45,22,25,195,185,5906,5693,513,612,224,198,62,69,43,40
050,09,001,Connecticut,Fairfield County,1,12,73205,35627,37578,30104,30776,3571,4660,162,157,1455,1582,37,35,298,368,30319,31041,3705,4842,308,337,1543,1681,81,95,30299,32068,25389,25919,3251,4281,32,43,1421,1556,16,14,190,255,25526,26089,3312,4380,135,177,1486,1642,40,61,5328,5510,4715,4857,320,379,130,114,34,26,21,21,108,113,4793,4952,393,462,173,160,57,39,41,34
050,09,001,Connecticut,Fairfield County,1,13,64616,31634,32982,26880,27247,3109,3924,100,99,1218,1392,33,27,294,293,27121,27436,3240,4085,227,269,1309,1460,70,62,27810,28895,23542,23664,2842,3600,28,31,1196,1365,14,14,188,221,23681,23794,2901,3710,121,173,1279,1425,39,40,3824,4087,3338,3583,267,324,72,68,22,27,19,13,106,72,3440,3642,339,375,106,96,30,35,31,22
050,09,001,Connecticut,Fairfield County,1,14,49356,23795,25561,20597,21532,2123,2659,58,48,849,1114,13,16,155,192,20717,21649,2186,2760,152,152,887,1181,28,52,21332,22819,18399,19072,1948,2494,19,17,837,1097,7,7,122,132,18491,19139,1987,2562,97,87,871,1149,22,33,2463,2742,2198,2460,175,165,39,31,12,17,6,9,33,60,2226,2510,199,198,55,65,16,32,6,19
050,09,001,Connecticut,Fairfield County,1,15,38205,17520,20685,15367,17494,1374,2164,40,58,625,854,4,5,110,110,15441,17559,1418,2217,104,134,660,891,23,26,15826,18706,13811,15738,1290,2018,19,17,620,850,2,3,84,80,13862,15788,1321,2058,74,73,644,878,15,14,1694,1979,1556,1756,84,146,21,41,5,4,2,2,26,30,1579,1771,97,159,30,61,16,13,8,12
050,09,001,Connecticut,Fairfield County,1,16,27254,12134,15120,10591,12986,993,1479,26,30,464,546,5,8,55,71,10630,13040,1018,1509,65,72,470,563,8,17,11179,13729,9736,11712,934,1406,13,9,457,541,1,3,38,58,9763,11754,949,1427,39,45,463,556,4,10,955,1391,855,1274,59,73,13,21,7,5,4,5,17,13,867,1286,69,82,26,27,7,7,4,7
050,09,001,Connecticut,Fairfield County,1,17,18036,7502,10534,6590,9134,575,1006,8,27,302,300,3,4,24,63,6613,9186,584,1036,18,58,308,312,3,11,6875,9562,6022,8255,546,952,2,14,293,295,1,1,11,45,6032,8292,548,966,8,40,297,305,1,6,627,972,568,879,29,54,6,13,9,5,2,3,13,18,581,894,36,70,10,18,11,7,2,5
050,09,001,Connecticut,Fairfield County,1,18,21594,7443,14151,6769,12745,428,979,20,16,192,329,4,5,30,77,6792,12802,446,1020,41,58,200,337,9,14,6946,13229,6322,11888,406,945,8,9,192,323,0,3,18,61,6335,11929,414,975,20,49,200,330,2,10,497,922,447,857,22,34,12,7,0,6,4,2,12,16,457,873,32,45,21,9,0,7,7,4
050,09,001,Connecticut,Fairfield County,2,0,955895,468672,487223,368305,376317,58927,67183,3355,2844,26998,29581,566,547,10521,10751,377291,385500,65033,73904,5531,5401,30860,33087,1626,1381,367686,387323,283182,292415,50145,57692,681,663,26334,28979,170,167,7174,7407,289368,298676,53790,61774,1940,2167,29565,32078,763,704,100986,99900,85123,83902,8782,9491,2674,2181,664,602,396,380,3347,3344,87923,86824,11243,12130,3591,3234,1295,1009,863,677
050,09,001,Connecticut,Fairfield County,2,1,50833,25946,24887,18694,17733,3807,3756,403,389,1693,1612,49,64,1300,1333,19919,18982,4589,4615,540,542,2232,2110,89,107,17820,16781,12314,11428,2887,2848,58,54,1636,1550,16,12,909,889,13177,12269,3342,3335,103,97,2124,1992,33,32,8126,8106,6380,6305,920,908,345,335,57,62,33,52,391,444,6742,6713,1247,1280,437,445,108,118,56,75
050,09,001,Connecticut,Fairfield County,2,2,56295,28503,27792,20979,20235,4092,4041,256,240,1796,1942,38,39,1342,1295,22252,21455,4916,4829,422,377,2321,2451,85,87,20607,19828,14567,13738,3228,3171,103,81,1757,1909,20,16,932,913,15460,14601,3705,3626,164,135,2233,2385,37,38,7896,7964,6412,6497,864,870,153,159,39,33,18,23,410,382,6792,6854,1211,1203,258,242,88,66,48,49
