SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,34,001,New Jersey,Atlantic County,1,0,274534,133803,140731,95994,99386,22203,24908,956,972,10641,11480,143,122,3866,3863,99325,102623,24497,27377,1784,1828,12019,12768,303,332,106579,114011,74481,78404,18565,21229,268,254,10422,11243,42,52,2801,2829,76827,80707,20033,22861,818,831,11700,12437,157,209,27224,26720,21513,20982,3638,3679,688,718,219,237,101,70,1065,1034,22498,21916,4464,4516,966,997,319,331,146,123
050,34,001,New Jersey,Atlantic County,1,1,14476,7387,7089,4687,4461,1591,1499,64,75,510,530,12,12,523,512,5177,4943,1905,1804,107,123,719,734,20,22,4999,4774,2862,2702,1241,1178,14,12,490,510,5,4,387,368,3223,3052,1440,1365,28,29,689,699,11,7,2388,2315,1825,1759,350,321,50,63,20,20,7,8,136,144,1954,1891,465,439,79,94,30,35,9,15
050,34,001,New Jersey,Atlantic County,1,2,16168,8325,7843,5361,4977,1688,1609,50,69,670,670,13,8,543,510,5870,5452,2006,1941,99,121,897,852,25,19,5752,5353,3308,3065,1361,1262,23,22,659,656,6,3,395,345,3678,3386,1556,1452,42,37,872,826,13,9,2573,2490,2053,1912,327,347,27,47,11,14,7,5,148,165,2192,2066,450,489,57,84,25,26,12,10
050,34,001,New Jersey,Atlantic County,1,3,17289,8827,8462,5651,5388,1848,1810,74,96,748,699,12,12,494,457,6113,5810,2160,2091,118,135,930,880,22,24,6245,5921,3682,3460,1448,1419,18,16,720,665,2,1,375,360,4032,3791,1655,1616,41,35,895,840,8,11,2582,2541,1969,1928,400,391,56,80,28,34,10,11,119,97,2081,2019,505,475,77,100,35,40,14,13
050,34,001,New Jersey,Atlantic County,1,4,17379,8931,8448,5850,5601,1756,1638,79,67,770,727,24,10,452,405,6268,5977,2060,1918,135,110,901,850,39,24,6517,6219,4043,3889,1390,1321,18,7,740,699,3,0,323,303,4340,4169,1591,1509,42,30,865,817,13,10,2414,2229,1807,1712,366,317,61,60,30,28,21,10,129,102,1928,1808,469,409,93,80,36,33,26,14
050,34,001,New Jersey,Atlantic County,1,5,17169,8641,8528,5860,5793,1568,1614,79,57,781,726,6,13,347,325,6173,6082,1818,1859,144,113,864,804,15,33,6604,6593,4250,4262,1299,1351,21,19,766,705,1,9,267,247,4491,4478,1491,1530,62,57,840,780,9,26,2037,1935,1610,1531,269,263,58,38,15,21,5,4,80,78,1682,1604,327,329,82,56,24,24,6,7
050,34,001,New Jersey,Atlantic County,1,6,16888,8500,8388,5747,5592,1769,1784,54,58,663,694,5,4,262,256,5970,5807,1942,1961,117,114,733,763,20,20,6524,6538,4201,4155,1478,1492,9,14,646,678,2,2,188,197,4355,4317,1598,1626,50,52,713,739,12,16,1976,1850,1546,1437,291,292,45,44,17,16,3,2,74,59,1615,1490,344,335,67,62,20,24,8,4
050,34,001,New Jersey,Atlantic County,1,7,15856,7871,7985,5578,5350,1512,1675,54,54,529,682,11,6,187,218,5731,5531,1627,1818,106,108,587,751,20,17,5867,6187,3998,3945,1219,1403,13,6,522,672,0,5,115,156,4084,4072,1281,1499,40,37,576,737,7,14,2004,1798,1580,1405,293,272,41,48,7,10,11,1,72,62,1647,1459,346,319,66,71,11,14,13,3
050,34,001,New Jersey,Atlantic County,1,8,15399,7623,7776,5594,5380,1259,1495,56,68,545,662,12,6,157,165,5720,5518,1342,1600,104,114,606,711,24,15,5727,5904,4061,3890,1013,1240,6,13,535,647,4,4,108,110,4143,3980,1062,1303,38,38,590,693,13,10,1896,1872,1533,1490,246,255,50,55,10,15,8,2,49,55,1577,1538,280,297,66,76,16,18,11,5
050,34,001,New Jersey,Atlantic County,1,9,15179,7361,7818,5346,5381,1219,1417,102,84,550,751,8,12,136,173,5453,5516,1291,1530,140,132,605,804,17,28,5473,6031,3839,3988,983,1163,22,15,538,738,1,6,90,121,3907,4075,1022,1237,46,48,584,787,6,18,1888,1787,1507,1393,236,254,80,69,12,13,7,6,46,52,1546,1441,269,293,94,84,21,17,11,10
050,34,001,New Jersey,Atlantic County,1,10,16956,8066,8890,5737,5928,1312,1672,64,61,784,1086,4,11,165,132,5868,6021,1404,1752,116,101,852,1135,15,22,6433,7200,4414,4594,1123,1425,20,7,772,1073,1,1,103,100,4486,4661,1167,1480,54,39,831,1117,9,9,1633,1690,1323,1334,189,247,44,54,12,13,3,10,62,32,1382,1360,237,272,62,62,21,18,6,13
050,34,001,New Jersey,Atlantic County,1,11,18828,9076,9752,6564,6921,1435,1690,54,56,891,936,14,8,118,141,6650,7019,1498,1781,102,118,935,979,23,19,7455,8135,5231,5590,1245,1498,12,16,881,925,6,4,80,102,5282,5653,1281,1556,47,68,920,966,11,12,1621,1617,1333,1331,190,192,42,40,10,11,8,4,38,39,1368,1366,217,225,55,50,15,13,12,7
050,34,001,New Jersey,Atlantic County,1,12,21361,10382,10979,7897,8175,1453,1795,70,67,831,796,6,5,125,141,7976,8258,1504,1870,134,136,884,848,17,22,8967,9572,6718,7033,1302,1616,26,30,823,784,2,5,96,104,6771,7085,1330,1667,83,88,873,828,11,17,1415,1407,1179,1142,151,179,44,37,8,12,4,0,29,37,1205,1173,174,203,51,48,11,20,6,5
050,34,001,New Jersey,Atlantic County,1,13,20639,9904,10735,7659,8076,1313,1621,57,58,775,814,5,5,95,161,7730,8176,1350,1710,112,149,812,865,14,21,8846,9554,6802,7131,1184,1473,19,24,763,805,4,0,74,121,6852,7194,1209,1534,66,98,798,850,12,13,1058,1181,857,945,129,148,38,34,12,9,1,5,21,40,878,982,141,176,46,51,14,15,2,8
050,34,001,New Jersey,Atlantic County,1,14,16722,7998,8724,6326,6814,896,1112,34,37,639,649,3,5,100,107,6391,6871,937,1175,89,100,674,686,11,16,7310,7994,5767,6205,821,1050,14,20,631,637,1,4,76,78,5809,6237,847,1092,64,71,662,668,8,13,688,730,559,609,75,62,20,17,8,12,2,1,24,29,582,634,90,83,25,29,12,18,3,3
050,34,001,New Jersey,Atlantic County,1,15,13546,6375,7171,5167,5759,703,890,22,21,413,420,5,2,65,79,5206,5801,730,940,61,66,439,447,8,14,5876,6624,4770,5304,639,832,9,10,404,417,4,2,50,59,4798,5333,655,865,44,47,427,440,6,10,499,547,397,455,64,58,13,11,9,3,1,0,15,20,408,468,75,75,17,19,12,7,2,4
050,34,001,New Jersey,Atlantic County,1,16,9258,4075,5183,3339,4157,404,672,14,19,272,290,2,2,44,43,3364,4184,422,696,40,47,290,297,6,5,3824,4876,3138,3906,380,642,6,10,267,286,0,1,33,31,3154,3924,391,657,27,32,283,292,3,4,251,307,201,251,24,30,8,9,5,4,2,1,11,12,210,260,31,39,13,15,7,5,3,1
050,34,001,New Jersey,Atlantic County,1,17,5875,2524,3351,2033,2670,285,452,14,17,165,195,0,0,27,17,2048,2681,300,460,29,22,177,203,2,5,2357,3142,1902,2494,263,430,10,9,161,195,0,0,21,14,1913,2502,275,436,22,13,170,203,2,5,167,209,131,176,22,22,4,8,4,0,0,0,6,3,135,179,25,24,7,9,7,0,0,0
050,34,001,New Jersey,Atlantic County,1,18,5546,1937,3609,1598,2963,192,463,15,8,105,153,1,1,26,21,1617,2976,201,471,31,19,114,159,5,6,1803,3394,1495,2791,176,434,8,4,104,151,0,1,20,13,1509,2798,182,437,22,12,112,155,3,5,134,215,103,172,16,29,7,4,1,2,1,0,6,8,108,178,19,34,9,7,2,4,2,1
050,34,001,New Jersey,Atlantic County,2,0,274191,133678,140513,95845,99246,22212,24853,957,976,10617,11459,148,128,3899,3851,99087,102359,24387,27157,1781,1824,12184,12944,388,407,106399,113782,74305,78258,18564,21175,266,256,10398,11217,43,56,2823,2820,76579,80470,19933,22671,808,829,11831,12566,207,266,27279,26731,21540,20988,3648,3678,691,720,219,242,105,72,1076,1031,22508,21889,4454,4486,973,995,353,378,181,141
050,34,001,New Jersey,Atlantic County,2,1,14375,7375,7000,4645,4408,1607,1490,63,74,512,522,14,12,534,494,5137,4862,1895,1767,109,120,768,747,25,25,4981,4723,2826,2676,1250,1172,13,14,491,501,5,4,396,356,3189,3004,1427,1336,30,25,724,705,11,11,2394,2277,1819,1732,357,318,50,60,21,21,9,8,138,138,1948,1858,468,431,79,95,44,42,14,14
050,34,001,New Jersey,Atlantic County,2,2,16068,8267,7801,5329,4945,1681,1605,47,69,656,666,13,9,541,507,5836,5413,1979,1910,98,122,905,873,26,24,5719,5319,3294,3044,1357,1258,21,21,645,651,6,3,396,342,3665,3358,1536,1425,42,38,879,839,13,11,2548,2482,2035,1901,324,347,26,48,11,15,7,6,145,165,2171,2055,443,485,56,84,26,34,13,13
050,34,001,New Jersey,Atlantic County,2,3,17243,8812,8431,5647,5376,1840,1799,76,96,744,693,13,13,492,454,6098,5786,2128,2056,119,135,959,899,26,33,6207,5897,3656,3451,1442,1412,18,17,717,659,2,2,372,356,3995,3778,1631,1586,38,37,918,856,8,15,2605,2534,1991,1925,398,387,58,79,27,34,11,11,120,98,2103,2008,497,470,81,98,41,43,18,18
050,34,001,New Jersey,Atlantic County,2,4,17320,8898,8422,5824,5585,1753,1636,77,67,758,719,25,10,461,405,6244,5952,2054,1902,133,111,911,854,44,26,6492,6183,4026,3864,1388,1318,18,6,728,691,4,0,328,304,4323,4142,1581,1498,43,29,870,816,17,13,2406,2239,1798,1721,365,318,59,61,30,28,21,10,133,101,1921,1810,473,404,90,82,41,38,27,13
050,34,001,New Jersey,Atlantic County,2,5,17131,8637,8494,5852,5765,1574,1614,82,58,776,716,6,14,347,327,6155,6040,1806,1841,144,114,874,823,23,45,6566,6558,4221,4237,1298,1348,21,19,759,696,1,10,266,248,4451,4438,1472,1512,58,57,851,795,15,37,2071,1936,1631,1528,276,266,61,39,17,20,5,4,81,79,1704,1602,334,329,86,57,23,28,8,8
050,34,001,New Jersey,Atlantic County,2,6,16872,8484,8388,5735,5609,1755,1770,52,57,670,689,5,4,267,259,5952,5812,1924,1946,116,116,752,776,28,23,6521,6532,4194,4162,1469,1484,9,12,653,671,2,2,194,201,4344,4318,1584,1614,49,53,729,748,22,16,1963,1856,1541,1447,286,286,43,45,17,18,3,2,73,58,1608,1494,340,332,67,63,23,28,6,7
050,34,001,New Jersey,Atlantic County,2,7,15879,7885,7994,5572,5347,1527,1681,55,56,531,687,11,6,189,217,5718,5512,1631,1819,109,105,594,766,28,23,5898,6197,4013,3949,1231,1403,12,7,525,677,0,5,117,156,4095,4061,1291,1496,41,38,583,748,10,19,1987,1797,1559,1398,296,278,43,49,6,10,11,1,72,61,1623,1451,340,323,68,67,11,18,18,4
050,34,001,New Jersey,Atlantic County,2,8,15440,7644,7796,5610,5397,1265,1498,56,68,542,657,13,6,158,170,5725,5529,1349,1598,102,118,612,719,31,21,5733,5925,4065,3908,1017,1244,7,13,532,642,4,4,108,114,4138,3994,1063,1300,41,43,593,699,18,16,1911,1871,1545,1489,248,254,49,55,10,15,9,2,50,56,1587,1535,286,298,61,75,19,20,13,5
050,34,001,New Jersey,Atlantic County,2,9,15142,7350,7792,5341,5372,1222,1411,100,82,543,740,8,14,136,173,5449,5509,1289,1515,137,129,601,802,25,30,5469,6001,3840,3971,987,1160,20,15,531,726,1,7,90,122,3910,4062,1023,1226,45,47,580,784,11,21,1881,1791,1501,1401,235,251,80,67,12,14,7,7,46,51,1539,1447,266,289,92,82,21,18,14,9
050,34,001,New Jersey,Atlantic County,2,10,16758,7973,8785,5668,5864,1299,1645,65,62,772,1070,4,11,165,133,5789,5953,1394,1722,113,104,836,1124,19,21,6333,7098,4341,4532,1108,1400,21,7,760,1057,1,1,102,101,4407,4598,1156,1453,53,40,816,1105,8,9,1640,1687,1327,1332,191,245,44,55,12,13,3,10,63,32,1382,1355,238,269,60,64,20,19,11,12
050,34,001,New Jersey,Atlantic County,2,11,18749,9030,9719,6522,6869,1431,1694,55,55,890,953,12,8,120,140,6608,6960,1481,1776,104,108,939,1005,28,22,7422,8108,5197,5549,1247,1499,12,15,880,942,5,4,81,99,5248,5608,1276,1550,47,57,921,988,15,13,1608,1611,1325,1320,184,195,43,40,10,11,7,4,39,41,1360,1352,205,226,57,51,18,17,13,9
050,34,001,New Jersey,Atlantic County,2,12,21266,10326,10940,7853,8159,1437,1780,69,67,833,790,8,6,126,138,7926,8242,1487,1848,132,137,889,841,25,28,8901,9515,6669,6997,1283,1602,26,29,826,779,3,6,94,102,6715,7046,1312,1650,80,89,876,823,16,22,1425,1425,1184,1162,154,178,43,38,7,11,5,0,32,36,1211,1196,175,198,52,48,13,18,9,6
050,34,001,New Jersey,Atlantic County,2,13,20668,9924,10744,7664,8086,1322,1617,59,58,780,814,5,5,94,164,7720,8180,1361,1708,109,143,821,877,15,27,8845,9565,6788,7143,1192,1469,20,26,767,805,4,0,74,122,6828,7204,1216,1529,64,97,803,857,14,18,1079,1179,876,943,130,148,39,32,13,9,1,5,20,42,892,976,145,179,45,46,18,20,1,9
050,34,001,New Jersey,Atlantic County,2,14,16893,8078,8815,6388,6876,909,1127,35,40,640,660,3,5,103,107,6447,6934,949,1185,97,103,680,695,11,21,7383,8064,5825,6251,832,1063,14,21,633,647,1,4,78,78,5862,6284,859,1102,66,72,669,679,8,15,695,751,563,625,77,64,21,19,7,13,2,1,25,29,585,650,90,83,31,31,11,16,3,6
050,34,001,New Jersey,Atlantic County,2,15,13642,6421,7221,5209,5794,699,894,22,22,419,430,5,2,67,79,5239,5834,729,939,58,69,450,460,13,16,5918,6674,4808,5342,635,834,10,10,409,427,4,2,52,59,4830,5366,652,866,41,49,439,451,8,12,503,547,401,452,64,60,12,12,10,3,1,0,15,20,409,468,77,73,17,20,11,9,5,4
