SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,44,001,Rhode Island,Bristol County,1,0,50793,24629,26164,22982,24538,433,338,79,66,583,718,23,10,529,494,23458,24992,653,560,213,175,800,924,65,43,23747,25359,22273,23861,358,294,55,47,574,710,9,4,478,443,22707,24271,546,479,177,141,780,910,46,34,882,805,709,677,75,44,24,19,9,8,14,6,51,51,751,721,107,81,36,34,20,14,19,9
050,44,001,Rhode Island,Bristol County,1,1,1958,977,981,852,847,11,29,0,2,39,42,4,1,71,60,920,902,42,56,6,6,76,75,4,4,916,922,801,798,10,23,0,1,39,42,0,0,66,58,864,851,37,49,6,5,75,74,0,3,61,59,51,49,1,6,0,1,0,0,4,1,5,2,56,51,5,7,0,1,1,1,4,1
050,44,001,Rhode Island,Bristol County,1,2,2511,1274,1237,1135,1097,20,26,6,4,57,53,1,2,55,55,1188,1151,46,55,13,12,82,78,3,4,1221,1168,1094,1044,13,20,2,1,57,53,1,0,54,50,1146,1093,38,45,9,7,82,78,3,2,53,69,41,53,7,6,4,3,0,0,0,2,1,5,42,58,8,10,4,5,0,0,0,2
050,44,001,Rhode Island,Bristol County,1,3,3066,1596,1470,1404,1298,38,28,11,7,67,55,2,1,74,81,1472,1376,79,65,25,13,96,97,7,4,1508,1400,1341,1239,28,26,5,4,67,55,0,0,67,76,1403,1313,65,60,16,9,96,96,4,2,88,70,63,59,10,2,6,3,0,0,2,1,7,5,69,63,14,5,9,4,0,1,3,2
050,44,001,Rhode Island,Bristol County,1,4,3895,1921,1974,1757,1795,31,36,6,6,62,71,1,0,64,66,1816,1855,54,72,16,15,94,99,8,5,1836,1895,1682,1728,29,31,3,5,60,70,1,0,61,61,1738,1783,51,63,13,13,90,98,8,5,85,79,75,67,2,5,3,1,2,1,0,0,3,5,78,72,3,9,3,2,4,1,0,0
050,44,001,Rhode Island,Bristol County,1,5,3502,1722,1780,1574,1662,41,31,10,6,30,33,1,1,66,47,1636,1703,70,52,23,18,55,53,4,3,1656,1708,1526,1601,34,30,6,4,30,32,0,1,60,40,1582,1635,59,46,19,14,53,52,3,3,66,72,48,61,7,1,4,2,0,1,1,0,6,7,54,68,11,6,4,4,2,1,1,0
050,44,001,Rhode Island,Bristol County,1,6,2467,1296,1171,1211,1108,30,23,10,2,16,14,1,1,28,23,1231,1131,42,35,21,6,27,23,6,3,1229,1134,1161,1079,25,19,6,2,15,14,1,1,21,19,1177,1098,34,27,14,6,25,23,3,3,67,37,50,29,5,4,4,0,1,0,0,0,7,4,54,33,8,8,7,0,2,0,3,0
050,44,001,Rhode Island,Bristol County,1,7,2591,1295,1296,1189,1198,46,20,7,6,30,46,0,1,23,25,1208,1220,55,30,14,13,40,57,2,2,1208,1230,1121,1147,30,16,7,3,30,46,0,0,20,18,1137,1164,37,21,13,6,40,56,2,1,87,66,68,51,16,4,0,3,0,0,0,1,3,7,71,56,18,9,1,7,0,1,0,1
050,44,001,Rhode Island,Bristol County,1,8,2949,1429,1520,1331,1397,23,20,2,1,38,76,1,1,34,25,1361,1422,36,27,10,7,53,86,5,4,1334,1441,1254,1324,13,19,2,0,36,76,1,0,28,22,1279,1346,21,24,9,6,50,85,5,3,95,79,77,73,10,1,0,1,2,0,0,1,6,3,82,76,15,3,1,1,3,1,0,1
050,44,001,Rhode Island,Bristol County,1,9,2806,1349,1457,1231,1326,37,32,0,8,55,70,4,0,22,21,1249,1343,44,44,11,16,63,78,5,2,1280,1395,1176,1276,30,29,0,6,54,69,1,0,19,15,1192,1289,35,35,10,12,61,76,2,2,69,62,55,50,7,3,0,2,1,1,3,0,3,6,57,54,9,9,1,4,2,2,3,0
