SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,10,001,Delaware,Kent County,1,0,181851,88032,93819,57880,60456,23884,26474,637,713,1948,2354,106,116,3577,3706,60943,63513,26364,29071,1498,1659,2891,3332,308,365,81079,86803,53011,55543,22597,25180,450,506,1889,2286,54,50,3078,3238,55662,58218,24731,27449,1099,1275,2731,3181,214,260,6953,7016,4869,4913,1287,1294,187,207,59,68,52,66,499,468,5281,5295,1633,1622,399,384,160,151,94,105
050,10,001,Delaware,Kent County,1,1,11095,5675,5420,3306,3143,1683,1615,45,47,115,98,8,9,518,508,3789,3616,2116,2047,89,90,222,183,21,27,4925,4670,2854,2682,1501,1445,16,20,101,85,4,2,449,436,3282,3097,1877,1819,40,42,188,157,13,14,750,750,452,461,182,170,29,27,14,13,4,7,69,72,507,519,239,228,49,48,34,26,8,13
050,10,001,Delaware,Kent County,1,2,11638,6055,5583,3490,3366,1833,1577,39,40,118,112,12,5,563,483,4019,3818,2302,1964,100,81,234,226,26,16,5342,4935,3063,2952,1670,1455,18,17,114,97,4,0,473,414,3515,3344,2065,1786,43,38,209,200,13,9,713,648,427,414,163,122,21,23,4,15,8,5,90,69,504,474,237,178,57,43,25,26,13,7
050,10,001,Delaware,Kent County,1,3,12127,6180,5947,3654,3560,1882,1756,36,34,112,99,4,6,492,492,4102,4004,2274,2161,96,90,230,214,29,27,5521,5240,3232,3065,1742,1631,25,18,106,97,1,2,415,427,3613,3455,2076,1991,55,49,208,199,21,19,659,707,422,495,140,125,11,16,6,2,3,4,77,65,489,549,198,170,41,41,22,15,8,8
050,10,001,Delaware,Kent County,1,4,12414,6182,6232,3470,3204,2109,2406,28,42,120,114,8,6,447,460,3878,3606,2449,2759,93,122,244,236,30,30,5566,5620,3054,2831,1976,2250,17,29,119,108,2,2,398,400,3420,3183,2278,2554,63,94,237,222,20,24,616,612,416,373,133,156,11,13,1,6,6,4,49,60,458,423,171,205,30,28,7,14,10,6
050,10,001,Delaware,Kent County,1,5,12320,6161,6159,3478,3243,2113,2374,40,34,183,122,12,10,335,376,3755,3568,2347,2627,126,117,273,224,25,36,5576,5583,3062,2854,2009,2253,26,29,176,115,5,6,298,326,3310,3137,2217,2470,94,94,260,208,16,24,585,576,416,389,104,121,14,5,7,7,7,4,37,50,445,431,130,157,32,23,13,16,9,12
050,10,001,Delaware,Kent County,1,6,12258,6209,6049,3906,3785,1826,1782,40,46,179,154,7,14,251,268,4118,3994,1981,1948,109,118,250,246,20,34,5642,5488,3486,3360,1727,1705,29,26,174,151,2,7,224,239,3678,3549,1870,1858,83,84,241,234,9,23,567,561,420,425,99,77,11,20,5,3,5,7,27,29,440,445,111,90,26,34,9,12,11,11
050,10,001,Delaware,Kent County,1,7,12017,5918,6099,4067,4089,1499,1643,39,40,123,137,10,9,180,181,4211,4228,1604,1751,98,102,185,197,30,25,5417,5616,3692,3733,1416,1560,23,28,120,136,9,5,157,154,3814,3852,1510,1653,71,75,179,191,29,16,501,483,375,356,83,83,16,12,3,1,1,4,23,27,397,376,94,98,27,27,6,6,1,9
050,10,001,Delaware,Kent County,1,8,11387,5497,5890,3705,3826,1450,1673,44,50,141,167,8,11,149,163,3819,3943,1525,1768,91,108,203,228,23,26,4994,5404,3316,3487,1375,1580,31,29,138,167,3,5,131,136,3413,3581,1440,1657,69,73,197,223,18,19,503,486,389,339,75,93,13,21,3,0,5,6,18,27,406,362,85,111,22,35,6,5,5,7
050,10,001,Delaware,Kent County,1,9,10372,4900,5472,3296,3585,1234,1500,31,43,158,178,9,6,172,160,3427,3694,1315,1587,109,104,216,242,25,29,4383,5009,2922,3242,1153,1421,25,27,156,174,3,2,124,143,3015,3338,1211,1498,77,80,203,234,11,24,517,463,374,343,81,79,6,16,2,4,6,4,48,17,412,356,104,89,32,24,13,8,14,5
050,10,001,Delaware,Kent County,1,10,10058,4719,5339,3180,3484,1260,1501,41,50,137,171,8,8,93,125,3240,3570,1305,1564,92,108,165,213,20,21,4345,4916,2906,3178,1194,1427,28,29,133,166,4,1,80,115,2955,3256,1233,1484,71,83,161,208,15,11,374,423,274,306,66,74,13,21,4,5,4,7,13,10,285,314,72,80,21,25,4,5,5,10
050,10,001,Delaware,Kent County,1,11,10778,5196,5582,3580,3655,1358,1562,40,55,136,193,2,2,80,115,3628,3731,1391,1629,88,123,165,226,10,20,4869,5274,3327,3422,1310,1512,29,43,132,189,2,1,69,107,3369,3491,1336,1577,71,107,160,220,8,18,327,308,253,233,48,50,11,12,4,4,0,1,11,8,259,240,55,52,17,16,5,6,2,2
050,10,001,Delaware,Kent County,1,12,12196,5828,6368,4130,4365,1457,1675,46,46,115,179,0,6,80,97,4191,4428,1489,1722,98,108,131,203,9,14,5563,6114,3918,4176,1420,1626,38,39,115,177,0,4,72,92,3973,4235,1444,1669,85,97,129,201,7,12,265,254,212,189,37,49,8,7,0,2,0,2,8,5,218,193,45,53,13,11,2,2,2,2
050,10,001,Delaware,Kent County,1,13,11496,5340,6156,3852,4291,1261,1547,51,47,97,160,11,14,68,97,3890,4345,1292,1593,98,118,121,184,18,27,5140,5916,3703,4106,1232,1509,42,45,95,159,9,8,59,89,3735,4152,1258,1552,87,112,117,182,13,21,200,240,149,185,29,38,9,2,2,1,2,6,9,8,155,193,34,41,11,6,4,2,5,6
050,10,001,Delaware,Kent County,1,14,9989,4569,5420,3328,3788,1076,1375,41,49,67,138,4,6,53,64,3367,3825,1095,1404,79,97,79,150,6,18,4417,5254,3219,3661,1053,1352,33,44,66,136,3,2,43,59,3251,3695,1067,1377,65,89,76,148,5,12,152,166,109,127,23,23,8,5,1,2,1,4,10,5,116,130,28,27,14,8,3,2,1,6
050,10,001,Delaware,Kent County,1,15,8942,4106,4836,3133,3534,835,1089,35,35,58,127,0,1,45,50,3163,3563,849,1118,58,69,71,145,11,4,3997,4696,3049,3429,820,1068,32,31,57,127,0,1,39,40,3073,3451,832,1091,55,60,66,143,11,4,109,140,84,105,15,21,3,4,1,0,0,0,6,10,90,112,17,27,3,9,5,2,0,0
050,10,001,Delaware,Kent County,1,16,6159,2770,3389,2162,2561,523,669,13,16,41,98,1,0,30,45,2185,2588,538,690,36,51,46,104,2,6,2723,3309,2122,2497,521,661,12,13,40,98,1,0,27,40,2143,2520,533,680,34,45,45,103,2,6,47,80,40,64,2,8,1,3,1,0,0,0,3,5,42,68,5,10,2,6,1,1,0,0
050,10,001,Delaware,Kent County,1,17,3680,1592,2088,1221,1596,311,393,16,19,30,58,0,1,14,21,1233,1610,315,401,22,33,37,62,0,3,1554,2041,1190,1555,306,391,15,19,30,56,0,0,13,20,1201,1568,309,398,21,33,37,60,0,2,38,47,31,41,5,2,1,0,0,2,0,1,1,1,32,42,6,3,1,0,0,2,0,1
050,10,001,Delaware,Kent County,1,18,2925,1135,1790,922,1381,174,337,12,20,18,49,2,2,7,1,928,1382,177,338,16,20,19,49,3,2,1105,1718,896,1313,172,334,11,20,17,48,2,2,7,1,902,1314,175,335,15,20,18,48,3,2,30,72,26,68,2,3,1,0,1,1,0,0,0,0,26,68,2,3,1,0,1,1,0,0
050,10,001,Delaware,Kent County,2,0,182256,88196,94060,57882,60530,24025,26627,641,714,1943,2353,105,115,3600,3721,60937,63551,26514,29239,1502,1700,2916,3373,371,424,81183,86991,52976,55572,22723,25326,451,505,1886,2286,53,51,3094,3251,55625,58216,24855,27610,1095,1302,2752,3215,274,310,7013,7069,4906,4958,1302,1301,190,209,57,67,52,64,506,470,5312,5335,1659,1629,407,398,164,158,97,114
050,10,001,Delaware,Kent County,2,1,10992,5627,5365,3265,3111,1687,1604,44,45,113,95,7,9,511,501,3743,3575,2115,2033,87,94,227,186,29,33,4877,4618,2814,2648,1501,1435,15,19,101,82,4,2,442,432,3239,3056,1875,1809,37,46,196,156,19,18,750,747,451,463,186,169,29,26,12,13,3,7,69,69,504,519,240,224,50,48,31,30,10,15
050,10,001,Delaware,Kent County,2,2,11682,6070,5612,3500,3367,1829,1600,39,38,120,110,12,5,570,492,4028,3827,2307,1989,105,85,238,229,24,20,5346,4960,3066,2952,1666,1474,18,16,115,96,4,0,477,422,3519,3352,2063,1810,45,42,211,205,13,11,724,652,434,415,163,126,21,22,5,14,8,5,93,70,509,475,244,179,60,43,27,24,11,9
050,10,001,Delaware,Kent County,2,3,12120,6182,5938,3641,3566,1895,1745,36,32,112,100,4,6,494,489,4095,4004,2288,2146,97,93,227,214,31,35,5530,5231,3223,3070,1759,1621,24,17,106,98,1,2,417,423,3608,3454,2093,1976,58,50,204,199,25,25,652,707,418,496,136,124,12,15,6,2,3,4,77,66,487,550,195,170,39,43,23,15,6,10
050,10,001,Delaware,Kent County,2,4,12469,6203,6266,3486,3217,2114,2421,27,44,117,112,8,7,451,465,3894,3609,2449,2782,94,134,248,240,34,36,5576,5635,3061,2829,1979,2265,17,30,116,106,2,2,401,403,3428,3172,2279,2572,64,102,239,225,23,26,627,631,425,388,135,156,10,14,1,6,6,5,50,62,466,437,170,210,30,32,9,15,11,10
050,10,001,Delaware,Kent County,2,5,12348,6181,6167,3482,3249,2129,2375,41,35,180,121,12,11,337,376,3751,3567,2366,2625,136,130,270,232,34,44,5592,5589,3065,2857,2021,2254,27,30,174,114,5,7,300,327,3307,3137,2233,2469,101,105,260,212,23,31,589,578,417,392,108,121,14,5,6,7,7,4,37,49,444,430,133,156,35,25,10,20,11,13
050,10,001,Delaware,Kent County,2,6,12192,6169,6023,3876,3759,1812,1782,40,45,180,152,6,15,255,270,4084,3965,1977,1950,107,117,254,246,24,41,5595,5457,3452,3330,1714,1706,28,25,174,149,1,8,226,239,3641,3516,1860,1859,84,85,242,230,13,26,574,566,424,429,98,76,12,20,6,3,5,7,29,31,443,449,117,91,23,32,12,16,11,15
050,10,001,Delaware,Kent County,2,7,12091,5958,6133,4085,4101,1521,1659,37,41,122,141,11,8,182,183,4224,4242,1624,1772,96,100,188,200,40,27,5447,5652,3702,3746,1437,1575,21,29,120,140,10,5,157,157,3818,3866,1527,1672,67,76,182,197,38,20,511,481,383,355,84,84,16,12,2,1,1,3,25,26,406,376,97,100,29,24,6,3,2,7
050,10,001,Delaware,Kent County,2,8,11444,5523,5921,3720,3851,1457,1680,46,51,144,164,8,11,148,164,3830,3970,1533,1773,85,107,210,230,32,31,5017,5431,3332,3507,1380,1588,32,30,140,164,3,5,130,137,3427,3604,1445,1664,63,70,202,226,27,24,506,490,388,344,77,92,14,21,4,0,5,6,18,27,403,366,88,109,22,37,8,4,5,7
050,10,001,Delaware,Kent County,2,9,10440,4940,5500,3315,3596,1255,1519,33,44,155,178,9,5,173,158,3445,3704,1341,1604,111,109,215,238,27,30,4421,5037,2940,3255,1172,1438,25,27,154,174,3,2,127,141,3034,3350,1234,1514,78,84,200,230,14,26,519,463,375,341,83,81,8,17,1,4,6,3,46,17,411,354,107,90,33,25,15,8,13,4
050,10,001,Delaware,Kent County,2,10,10018,4690,5328,3160,3470,1254,1502,38,51,135,170,9,8,94,127,3224,3554,1293,1565,86,108,164,219,26,22,4313,4900,2883,3159,1189,1429,26,29,131,165,4,1,80,117,2933,3235,1224,1486,64,81,160,213,20,13,377,428,277,311,65,73,12,22,4,5,5,7,14,10,291,319,69,79,22,27,4,6,6,9
050,10,001,Delaware,Kent County,2,11,10732,5173,5559,3544,3632,1370,1562,42,53,135,193,2,2,80,117,3593,3705,1401,1636,84,124,164,226,18,21,4845,5243,3290,3396,1321,1510,31,40,131,188,2,1,70,108,3332,3461,1344,1580,68,104,160,221,16,20,328,316,254,236,49,52,11,13,4,5,0,1,10,9,261,244,57,56,16,20,4,5,2,1
050,10,001,Delaware,Kent County,2,12,12167,5789,6378,4088,4358,1458,1697,43,46,118,178,0,5,82,94,4151,4411,1490,1751,98,107,134,200,9,16,5517,6121,3872,4168,1418,1647,36,38,118,176,0,3,73,89,3928,4218,1442,1697,85,94,132,198,7,14,272,257,216,190,40,50,7,8,0,2,0,2,9,5,223,193,48,54,13,13,2,2,2,2
