"fact_id","weather_key","county_key","air_key","ypll","fair_poor_health","physically_unhealthy","mentally_unhealthy","smokers","obese","drinking","unemployed","uninsured"
4702,299508,6698,26184,"7029.6","14.58","3.22","3.99","27.29","30.70","14.50","5.90","11.40"
4703,299509,59143,26185,"7018","15.00","3.60","4.10","25.90","29.70","14.60","9.60","12.40"
4704,299510,59144,26186,"7099","15.50","4.20","4.30","26.70","29.90","14.20","9.90","13.40"
4705,299511,59145,26187,"6984.7","14.90","4.30","4.00","25.00","29.90","12.50","8.60","13.00"
4706,299512,59146,26188,"6984.7","15.20","4.40","4.10","23.50","26.60","14.70","6.89","12.99"
4707,299513,59147,26189,"7478.6","15.20","4.40","4.10","23.50","27.80","14.70","6.99","12.44"
4708,299514,59148,26190,"7584.4","14.20","3.50","3.90","18.60","29.30","18.80","5.32","10.61"
4709,299515,59149,26191,"7913","14.53","3.84","3.84","18.58","30.30","18.89","4.48","9.12"
4710,299516,59150,26192,"7737.4","15.59","3.74","4.05","20.61","31.70","20.11","4.37","6.99"
4711,299517,59151,26193,"7998.7","15.59","3.74","4.05","20.61","34.60","20.11","4.38","5.90"
4712,299518,59152,26194,"8228.3","15.07","3.78","4.14","18.54","37.00","19.38","4.10","5.88"
4713,299519,67472,26195,"8019.6","16.59","4.12","4.73","22.36","38.20","19.12","3.73","7.00"
4714,299636,6709,26225,"8367.4","12.58","3.62","3.55",NULL,"29.70","5.38","5.90","10.40"
4715,299637,59153,26226,"8386.6","16.20","3.70","3.20",NULL,"29.60","4.80","14.60","11.70"
4716,299638,59154,26227,"8455.7","15.40","3.70","3.60","20.30","29.10","6.50","16.40","12.50"
4717,299639,59155,26228,"8769.9","19.30","4.10","4.50",NULL,"29.10","9.30","13.10","13.00"
4718,299640,59156,26229,"8769.9","22.00","4.00",NULL,"19.00","29.70",NULL,"10.31","13.44"
4719,299641,59157,26230,"8876.3","22.00","4.00",NULL,"19.00","33.40",NULL,"10.04","12.93"
4720,299642,59158,26231,"9819.1","16.00","3.90","4.20","20.40","34.80","17.50","7.61","13.01"
4721,299643,59159,26232,"9136.2","15.84","3.79","4.01","19.54","34.30","17.43","6.13","9.66"
4722,299644,59160,26233,"9373.9","15.30","3.75","4.07","20.20","33.50","17.85","5.79","7.45"
4723,299645,59161,26234,"10062.5","15.30","3.75","4.07","20.20","33.40","17.85","5.44","6.21"
4724,299646,59162,26235,"10004.6","16.66","4.07","4.46","19.51","32.80","18.32","5.26","7.01"
4725,299647,67473,26236,"10441.3","18.83","4.60","4.94","23.86","35.80","17.76","4.71","7.38"
4726,299764,6720,26268,"7207.2","17.84","4.39","4.08","21.55","31.70","15.07","7.20","11.20"
4727,299765,59163,26269,"7327.5","16.30","4.30","3.80","21.10","32.60","16.30","13.20","15.30"
4728,299766,59164,26270,"7805.2","17.50","4.60","3.80","19.90","35.80","15.20","12.30","14.90"
4729,299767,59165,26271,"7623.2","19.40","4.80","3.50","19.60","35.80","14.10","10.20","15.60"
4730,299768,59166,26272,"7623.2","20.10","4.70","3.70","21.60","32.00","14.90","7.95","16.03"
4731,299769,59167,26273,"8302.6","20.10","4.70","3.70","21.60","32.30","14.90","8.10","14.51"
4732,299770,59168,26274,"8403.6","15.90","3.90","4.10","20.90","32.20","16.40","6.39","15.08"
4733,299771,59169,26275,"8266.2","17.04","3.80","4.06","20.23","33.00","16.58","5.87","10.79"
4734,299772,59170,26276,"8383.9","18.32","4.24","4.23","21.69","34.80","17.51","6.60","8.65"
4735,299773,59171,26277,"9113.1","18.32","4.24","4.23","21.69","34.30","17.51","5.97","7.04"
4736,299774,59172,26278,"8980.1","17.48","4.23","4.41","20.97","36.00","17.80","5.17","7.69"
4737,299775,67474,26279,"8720.9","20.51","4.53","5.32","27.29","35.70","17.40","4.83","9.02"
4738,300020,6742,26303,"8218.7","13.52","2.48","1.57",NULL,"29.20",NULL,"8.70","11.00"
4739,300148,6753,26334,"8149.8","14.51","3.32","3.81","21.61","28.30","17.22","6.80","10.50"
4740,300149,59193,26335,"8084.3","14.60","3.40","3.80","20.20","28.20","18.10","9.20","13.30"
4741,300150,59194,26336,"8110.3","14.40","3.30","3.80","19.50","28.10","17.70","9.50","14.70"
4742,300151,59195,26337,"7975.3","14.70","3.30","4.00","19.10","28.10","17.80","8.00","15.20"
4743,300152,59196,26338,"7975.3","14.80","3.30","4.10","18.70","27.20","17.10","7.33","14.24"
4744,300153,59197,26339,"7749.7","14.80","3.30","4.10","18.70","28.00","17.10","7.71","13.85"
4745,300154,59198,26340,"7907.7","16.50","3.90","4.00","18.30","28.60","18.20","6.39","13.32"
4746,300155,59199,26341,"7827.8","17.08","3.77","4.00","18.70","30.00","18.07","5.00","9.99"
4747,300156,59200,26342,"8037.5","16.41","3.71","3.70","20.62","29.90","16.84","5.45","7.82"
4748,300157,59201,26343,"8965.2","16.41","3.71","3.70","20.62","29.90","16.84","5.85","6.34"
4749,300158,59202,26344,"9085.3","18.48","4.30","4.59","20.03","30.40","20.07","5.24","6.61"
4750,300159,67477,26345,"8939.3","19.04","4.21","4.97","20.91","31.80","19.62","4.17","7.43"
4751,300532,6786,26362,"4435.1","4.87","2.06","2.26","12.06","27.10","17.21","4.60","11.40"
4752,300533,59223,26363,"4250.8","4.90","2.00","2.20","11.10","26.90","18.20","6.90","12.00"
