SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,23,001,Maine,Androscoggin County,1,0,111139,54708,56431,49834,51675,2773,2575,247,242,503,577,24,24,1327,1338,51114,52974,3473,3258,629,657,845,903,67,74,53565,55350,48967,50816,2680,2480,212,214,467,567,19,18,1220,1255,50144,52037,3314,3115,555,590,786,881,54,63,1143,1081,867,859,93,95,35,28,36,10,5,6,107,83,970,937,159,143,74,67,59,22,13,11
050,23,001,Maine,Androscoggin County,1,1,6322,3166,3156,2634,2551,310,361,12,10,26,27,3,1,181,206,2811,2754,443,511,30,29,63,75,5,3,3080,3076,2570,2489,303,352,10,9,25,27,3,1,169,198,2736,2684,427,495,26,27,61,75,4,3,86,80,64,62,7,9,2,1,1,0,0,0,12,8,75,70,16,16,4,2,2,0,1,0
050,23,001,Maine,Androscoggin County,1,2,6718,3372,3346,2794,2782,336,314,15,11,32,43,3,2,192,194,2983,2974,466,455,35,28,79,93,6,6,3250,3252,2705,2713,327,303,10,10,29,40,3,1,176,185,2878,2896,445,439,25,23,74,88,6,4,122,94,89,69,9,11,5,1,3,3,0,1,16,9,105,78,21,16,10,5,5,5,0,2
050,23,001,Maine,Androscoggin County,1,3,7063,3634,3429,3062,2828,365,354,14,16,19,38,3,5,171,188,3230,3013,483,476,34,38,60,86,4,12,3517,3317,2969,2746,353,344,11,13,18,35,3,5,163,174,3129,2919,465,457,29,28,59,83,4,11,117,112,93,82,12,10,3,3,1,3,0,0,8,14,101,94,18,19,5,10,1,3,0,1
050,23,001,Maine,Androscoggin County,1,4,6932,3529,3403,3011,2872,262,334,19,14,65,70,1,2,171,111,3178,2982,362,408,37,32,127,93,5,5,3410,3293,2918,2785,247,327,19,12,65,70,0,1,161,98,3075,2882,342,393,33,25,124,92,3,3,119,110,93,87,15,7,0,2,0,0,1,1,10,13,103,100,20,15,4,7,3,1,2,2
050,23,001,Maine,Androscoggin County,1,5,6615,3313,3302,2857,2884,267,239,15,15,50,47,0,4,124,113,2977,2990,346,293,37,47,85,85,5,8,3208,3200,2773,2802,258,230,15,12,49,47,0,2,113,107,2882,2902,329,283,35,42,81,83,5,5,105,102,84,82,9,9,0,3,1,0,0,2,11,6,95,88,17,10,2,5,4,2,0,3
050,23,001,Maine,Androscoggin County,1,6,6714,3422,3292,3037,2993,237,173,25,12,29,32,3,3,91,79,3126,3066,278,208,56,43,53,54,7,7,3336,3215,2979,2937,226,163,24,11,29,32,0,1,78,71,3055,3003,261,193,50,38,50,52,4,4,86,77,58,56,11,10,1,1,0,0,3,2,13,8,71,63,17,15,6,5,3,2,3,3
050,23,001,Maine,Androscoggin County,1,7,7018,3418,3600,3145,3288,156,172,19,19,34,42,2,1,62,78,3203,3365,180,202,39,50,58,61,9,5,3340,3518,3082,3217,151,169,16,14,33,42,2,1,56,75,3134,3291,173,197,36,43,54,61,8,5,78,82,63,71,5,3,3,5,1,0,0,0,6,3,69,74,7,5,3,7,4,0,1,0
050,23,001,Maine,Androscoggin County,1,8,6861,3372,3489,3096,3213,156,128,13,18,48,52,1,1,58,77,3150,3290,180,153,41,60,64,72,2,2,3280,3411,3022,3154,152,118,10,16,44,50,1,1,51,72,3069,3226,170,140,35,56,60,69,2,2,92,78,74,59,4,10,3,2,4,2,0,0,7,5,81,64,10,13,6,4,4,3,0,0
050,23,001,Maine,Androscoggin County,1,9,6523,3250,3273,3004,3053,139,111,21,16,36,32,1,2,49,59,3047,3110,153,124,48,49,53,51,6,4,3169,3186,2943,2985,133,98,16,14,36,32,1,2,40,55,2979,3039,143,109,37,45,51,49,4,4,81,87,61,68,6,13,5,2,0,0,0,0,9,4,68,71,10,15,11,4,2,2,2,0
050,23,001,Maine,Androscoggin County,1,10,6805,3370,3435,3121,3200,169,134,13,21,20,42,1,1,46,37,3163,3237,176,141,38,39,37,52,2,4,3318,3382,3079,3157,164,131,12,17,20,41,0,1,43,35,3119,3192,170,138,35,34,36,50,1,4,52,53,42,43,5,3,1,4,0,1,1,0,3,2,44,45,6,3,3,5,1,2,1,0
050,23,001,Maine,Androscoggin County,1,11,7480,3728,3752,3528,3592,117,70,20,16,39,41,0,0,24,33,3551,3620,126,77,39,40,43,48,1,3,3679,3704,3488,3555,114,65,19,14,39,40,0,0,19,30,3506,3581,119,69,33,36,42,47,0,3,49,48,40,37,3,5,1,2,0,1,0,0,5,3,45,39,7,8,6,4,1,1,1,0
